1,0,12
2,12,12
3,24,575
4,599,55
5,654,675
6,1329,81
7,1410,25
8,1435,17
9,1452,30
10,1482,34
11,1516,115
12,1631,35
13,1666,30
14,1696,42
15,1738,66
16,1804,38
17,1842,177
18,2019,101
19,2120,496
20,2616,50
21,2666,94
22,2760,116
23,2876,63
24,2939,14
25,2953,61
26,3014,35
27,3049,27
28,3076,118
29,3194,44
30,3238,31
31,3269,43
32,3312,14
33,3326,40
34,3366,14
35,3380,208
36,3588,23
37,3611,40
38,3651,134
39,3785,14
40,3799,14
41,3813,14
42,3827,22
43,3849,60
44,3909,14
45,3923,84
46,4007,14
47,4021,23
48,4044,298
49,4342,84
50,4426,75
51,4501,42
52,4543,40
53,4583,83
54,4666,149
55,4815,40
56,4855,168
57,5023,77
58,5100,47
59,5147,143
60,5290,1556
61,6846,23
62,6869,219
63,7088,481
64,7569,23
65,7592,15
66,7607,164
67,7771,437
68,8208,80
69,8288,39
70,8327,66
71,8393,15
72,8408,32
73,8440,88
74,8528,40
75,8568,36
76,8604,112
77,8716,15
78,8731,24
79,8755,66
80,8821,173
81,8994,24
82,9018,138
83,9156,177
84,9333,23
85,9356,15
86,9371,56
87,9427,15
88,9442,104
89,9546,23
90,9569,134
91,9703,41
92,9744,15
93,9759,19
94,9778,38
95,9816,15
96,9831,15
97,9846,116
98,9962,64
99,10026,33
100,10059,108
101,10167,42
102,10209,29
103,10238,34
104,10272,34
105,10306,95
106,10401,75
107,10476,92
108,10568,16
109,10584,34
110,10618,16
111,10634,54
112,10688,32
113,10720,16
114,10736,140
115,10876,36
116,10912,16
117,10928,180
118,11108,95
119,11203,16
120,11219,103
121,11322,24
122,11346,40
123,11386,183
124,11569,49
125,11618,46
126,11664,58
127,11722,16
128,11738,38
129,11776,47
130,11823,108
131,11931,115
132,12046,24
133,12070,16
134,12086,16
135,12102,101
136,12203,189
137,12392,112
138,12504,16
139,12520,79
140,12599,25
141,12624,28
142,12652,37
143,12689,58
144,12747,33
145,12780,187
146,12967,56
147,13023,159
148,13182,647
149,13829,16
150,13845,60
151,13905,25
152,13930,42
153,13972,25
154,13997,49
155,14046,58
156,14104,28
157,14132,175
158,14307,33
159,14340,16
160,14356,25
161,14381,115
162,14496,93
163,14589,116
164,14705,25
165,14730,45
166,14775,77
167,14852,38
168,14890,49
169,14939,42
170,14981,16
171,14997,57
172,15054,268
173,15322,42
174,15364,144
175,15508,236
176,15744,48
177,15792,55
178,15847,24
179,15871,145
180,16016,25
181,16041,16
182,16057,16
183,16073,50
184,16123,16
185,16139,16
186,16155,67
187,16222,62
188,16284,16
189,16300,16
190,16316,109
191,16425,67
192,16492,24
193,16516,25
194,16541,16
195,16557,38
196,16595,20
197,16615,120
198,16735,33
199,16768,16
200,16784,47
201,16831,113
202,16944,16
203,16960,50
204,17010,242
205,17252,394
206,17646,84
207,17730,16
208,17746,32
209,17778,16
210,17794,45
211,17839,24
212,17863,28
213,17891,257
214,18148,90
215,18238,51
216,18289,16
217,18305,24
218,18329,29
219,18358,51
220,18409,16
221,18425,342
222,18767,96
223,18863,34
224,18897,231
225,19128,174
226,19302,142
227,19444,34
228,19478,34
229,19512,349
230,19861,115
231,19976,97
232,20073,42
233,20115,25
234,20140,96
235,20236,42
236,20278,52
237,20330,51
238,20381,25
239,20406,113
240,20519,86
241,20605,71
242,20676,79
243,20755,16
244,20771,141
245,20912,53
246,20965,131
247,21096,68
248,21164,34
249,21198,16
250,21214,16
251,21230,16
252,21246,16
253,21262,64
254,21326,37
